Year,GDP,Revenue expenditure,Capital expenditure,Total Expenditure
FY84,209356.00,22251,13283,35534
FY85,235113.00,27691,15941,43632
FY86,262717.00,33924,18742,52666
FY87,292924.00,40860,22056,62916
FY88,332068.00,46174,22087,68261
FY89,396295.00,54106,25005,79111
FY90,456540.00,64210,28698,92908
FY91,531814.00,73516,31782,105298
FY92,613528.00,82292,29122,111414
FY93,703723.00,92702,29916,122618
FY94,817961.00,108169,33684,141853
FY95,955386.00,122112,38627,160739
FY96,1118586.00,139861,38414,178275
FY97,1301788.00,158933,42074,201007
FY98,1447613.00,180335,51718,232053
FY99,1668739.00,216461,62879,279340
FY00,1858205.00,249078,48975,298053
FY01,2000743.00,277839,47753,325592
FY02,2175260.00,301468,60842,362310
FY03,2343864.00,338713,74535,413248
FY04,2625819.00,362074,109129,471203
FY05,2971464.00,384329,113331,498252
FY06,3390503.00,439376,66362,505738
FY07,3953276.00,514609,68778,583387
FY08,4582086.00,594433,118238,712671
FY09,5303567.00,793798,90158,883956
FY10,6108903.00,911809,112678,1024487
FY11,7248860.00,1040723,156605,1197328
FY12,8391691.00,1145785,158580,1304365
FY13,9388876.00,1243514,166858,1410372
FY14,10472807.00,1371772,187675,1559447
FY15,12467959.00,1466992,196681,1663673
FY16,13771874.00,1537761,253022,1790783
FY17,15391669.00,1690584,284610,1975194
FY18,17090042.00,1878833,263140,2141973
FY19,18886957.00,2007399,307714,2315113
FY20,20351013.00,2350604,335726,2686330
FY21,19745670.00,3083519,426317,3509836
